Vendedor,Id,Data,Produto,Quantidade Vendida,Valor Unitario,Faturamento,Custo,Lucro,Forma de Pagamento,Imagem
James Harden,16337283762,2023-01-13 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-01-17 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-01-18 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-01-22 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-01-27 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-01-29 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-01-31 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-01 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-02 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-03 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-05 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-06 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-08 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-09 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-11 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-12 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-13 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-14 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-16 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-17 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-18 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-20 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-21 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-22 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
